Practice Bot,,trolley set,lift set A,lift set B,lift set C,arm set,arm sP +,arm sP -,arm adj +,arm adj -,
Array Numbers,,0,1,2,3,4,5,6,7,8,
0,{,-60,0,0,0,0,968,0,0,0,}
1,{,-98,0,0,0,0,968,0,0,0,}
2,{,-147,0,0,0,968,968,0,0,0,}
3,{,-196,0,0,0,968,968,0,0,0,}
4,{,-245,0,0,0,968,968,0,0,0,}
5,{,-294,0,0,0,968,968,0,0,0,}
6,{,-343,0,0,0,968,968,0,0,0,}
7,{,-392,0,0,0,968,968,0,0,0,}
8,{,-441,0,0,0,968,968,0,0,0,}
9,{,-490,0,0,0,968,968,0,0,0,}
10,{,-530,0,0,0,1080,2503,1080,5,-5,}
11,{,-530,0,0,0,1195,2503,1080,5,-5,}
12,{,-530,0,0,0,1320,2503,1080,5,-5,}
13,{,-530,0,0,0,0,2503,1080,5,-5,}
14,{,-530,0,0,0,0,2503,1080,5,-5,}
15,{,-530,0,0,0,0,2503,1080,5,-5,}
16,{,-530,0,0,0,0,2503,1080,5,-5,}
17,{,-530,0,0,0,0,2503,1080,5,-5,}
18,{,-530,0,0,0,0,2503,1080,5,-5,}
19,{,-530,0,0,0,0,2503,1080,5,-5,}
20,{,-530,0,0,0,1365,2503,1080,5,-5,}
